Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
winlogon.exe		1 892 K	7 228 K	9520	Программа входа в систему Windows	Microsoft Corporation
 dwm.exe		37 244 K	35 696 K	11864	Диспетчер окон рабочего стола	Microsoft Corporation
explorer.exe	< 0.01	51 140 K	96 716 K	5696	Проводник	Microsoft Corporation
 schedhlp.exe	< 0.01	1 380 K	7 588 K	10512		
 KeyboardLeds.exe	< 0.01	33 176 K	440 K	7004	Keyboard LEDs	KARPOLAN
 Skype.exe	0.02	78 924 K	109 948 K	18956	Skype 	Skype Technologies S.A.
TibMounterMonitor.exe		1 188 K	5 012 K	16136	Acronis TIB Mounter Monitor	Acronis International GmbH
TrueImageMonitor.exe	0.24	6 484 K	17 380 K	4524		
Taskmgr.exe	< 0.01	18 136 K	38 384 K	13460	Диспетчер задач	Microsoft Corporation
csrss.exe	0.02	2 980 K	15 832 K	10936	Процесс исполнения клиент-сервер	Microsoft Corporation
winlogon.exe		2 600 K	9 192 K	6968	Программа входа в систему Windows	Microsoft Corporation
 dwm.exe	0.03	90 308 K	73 076 K	15500	Диспетчер окон рабочего стола	Microsoft Corporation
 fontdrvhost.exe		744 K	2 752 K	6896	Usermode Font Driver Host	Microsoft Corporation
explorer.exe	0.02	203 332 K	238 824 K	11168	Проводник	Microsoft Corporation
 schedhlp.exe	< 0.01	1 356 K	10 208 K	15788		
 KeyboardLeds.exe	< 0.01	1 792 K	804 K	10500	Keyboard LEDs	KARPOLAN
 procexp.exe		2 520 K	7 100 K	6564	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	1.04	120 072 K	143 520 K	11228	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
 vmrc.exe		11 708 K	12 832 K	13980	Virtual Machine Remote Control Client	Microsoft Corporation
 TOTALCMD64.EXE	< 0.01	39 336 K	56 900 K	18804	Total Commander	Ghisler Software GmbH
  cmd.exe		2 144 K	4 128 K	16992	Обработчик команд Windows	Microsoft Corporation
   conhost.exe		17 828 K	17 136 K	6652	Console Window Host	Microsoft Corporation
  cmd.exe		2 796 K	4 656 K	11948	Обработчик команд Windows	Microsoft Corporation
   conhost.exe	< 0.01	17 812 K	17 168 K	18988	Console Window Host	Microsoft Corporation
   make.exe		3 876 K	6 436 K	4864		
    cl.exe	0.08	4 836 K	9 100 K	14876	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	2.98	67 256 K	72 840 K	20812	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.07	134 068 K	92 420 K	6216	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.15	157 076 K	149 836 K	19636	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
